PRODCODE,BARCODE
C05122590,1500400028
C05122880,1500400029
C05810170,1500400030
C05810160,1500400031
C05122860,1500400032
C08241820,1500400033
C08241130,1500400034
C08241220,1500400035
C03840090,1500400037
C05751040,1500400038
C06180190,1500400039
C06180200,1500400040
C06180210,1500400041
C06181030,1500400042
C03320440,1500400043
C05122720,1500400044
C05123100,1500400045
C01320040,1500400046
C06640140,1500400047
C07150060,1500400048
C01645470,1500400049
C01645480,1500400050
C01645490,1500400051
C01645500,1500400052
C08210920,1500400054
C08210940,1500400055
C08241310,1500400056
C08241750,1500400057
C08240030,1500400059
C02730030,1500400060
C04243014,1500400061
C04230330,1500400062
C04230350,1500400063
C03720440,1500400064
C05122780,1500400066
C08241010,1500400067
C04350110,1500400068
C02113310,1500400069
C02113320,1500400070
C05122970,1500400071
C06180220,1500400072
C05830040,1500400073
C05122650,1500400075
C05122680,1500400076
C06121560,1500400080
C06122710,1500400081
C06122720,1500400082
C04243083,1500400083
C04243090,1500400084
C04243106,1500400085
C04243113,1500400086
C04243120,1500400087
C04243137,1500400088
C04243144,1500400089
C04243199,1500400093
C04243212,1500400095
C10220040,1500400096
C10220050,1500400097
C08241340,1500400098
C10220070,1500400099
C04333450,1500400100
C04333460,1500400101
C04333510,1500400102
C03430420,1500400103
C03430430,1500400104
C05830000,1500400105
C05122700,1500400108
C06620040,1500400110
C06620060,1500400111
C03430220,1500400112
C08221020,1500400113
C08240940,1500400114
C08240950,1500400115
C08240000,1500400116
C08241250,1500400117
C05123080,1500400118
C05123010,1500400119
C05123060,1500400120
C05123070,1500400121
C05123090,1500400122
C08241330,1500400123
C04280380,1500400125
C04220210,1500400126
C04220220,1500400127
C04220240,1500400128
C04220200,1500400129
C04320190,1500400130
C04320210,1500400131
C03720410,1500400132
C04260050,1500400133
C04313670,1500400134
C04313680,1500400135
C04313690,1500400136
C03320320,1500400137
C03330040,1500400138
C06620830,1500400139
C03410000,1500400141
C06180960,1500400142
C06180230,1500400143
C10370000,1500400144
C10220080,1500400145
C08130120,1500400146
C04243229,1500400147
C07260890,1500400150
C02310650,1500400151
C05220350,1500400152
C04260150,1500400153
C05122750,1500400154
C03010480,1500400155
C05123250,1500400156
C05123270,1500400157
C04333480,1500400158
C04333490,1500400159
C04333500,1500400160
C10220090,1500400161
C04313730,1500400162
C04313720,1500400163
C04313740,1500400164
C04313710,1500400165
C04260520,1500400166
C03010300,1500400167
C06180940,1500400168
C05830020,1500400169
C10230100,1500400170
C04333440,1500400171
C03320650,1500400172
C04260030,1500400173
C06620050,1500400175
C06620070,1500400176
C03010320,1500400177
C03720430,1500400178
C03720500,1500400179
C03040390,1500400180
C01140050,1500400181
C08241230,1500400182
C08241240,1500400183
C06130350,1500400184
C04243350,1500400185
C04243410,1500400186
C04243380,1500400187
C04243360,1500400188
C04333430,1500400189
C03010510,1500400191
C06121270,1500400192
C05122600,1500400193
C04243007,1500400194
C04243045,1500400195
C04243069,1500400196
C05121530,1500400197
C04333470,1500400198
C04313750,1500400199
C06180170,1500400200
C06620910,1500400201
C08211110,1500400202
C06620120,1500400203
C03830490,1500400204
C05123420,1500400205
C05123430,1500400206
C05123440,1500400207
C05123450,1500400208
C03330840,1500400209
C03720420,1500400210
C03720890,1500400211
C06510800,1500400212
C03430040,1500400213
C01120360,1500400215
C06620920,1500400216
C11110630,1500400218
C03430410,1500400219
C11110480,1500400220
C01641430,1500400221
C05123020,1500400222
C07330110,1500400223
C04243021,1500400224
C04243370,1500400225
C03720510,1500400226
C04243052,1500400227
C03823380,1500400228
C05830050,1500400229
C06130430,1500400230
C05122990,1500400231
C02730520,1500400232
C07150070,1500400233
C01643070,1500400234
C11310400,1500400235
C11610310,1500400236
C06181000,1500400237
C06181010,1500400238
C06181020,1500400239
C04360030,1500400240
C05123000,1500400241
C04313700,1500400242
C03430070,1500400243
C03430080,1500400244
C07330220,1500400245
C07260370,1500400246
C05122790,1500400247
C01641450,1500400248
C05122980,1500400249
C02311930,1500400250
C11610210,1500400251
C08210970,1500400252
C04320190,1500400253
C04320180,1500400254
C08241740,1500400255
C08210830,1500400256
C08241630,1500400257
C08241660,1500400258
C08241610,1500400259
C04333043,1500400260
C04333036,1500400261
C04333012,1500400262
C05122690,1500400263
C04320170,1500400264
C05122610,1500400265
C11110560,1500400266
C05122710,1500400267
C05122730,1500400268
C05122740,1500400269
C04244170,1500400270
C04244270,1500400271
C04244280,1500400272
C04244300,1500400273
C01120080,1500400274
C8858741716368A,1500400275
C11610250,1500400276
C11610320,1500400277
C04243038,1500400278
C05220340,1500400280
C06620470,1500400281
C04280380,1500400282
C03721650,1500400283
C06122760,1500400284
C03740030,1500400285
C08110750,1500400286
C01530110,1500400287
C03720400,1500400288
C10320010,1500400289
C10320030,1500400290
000990002000001017,1500400291
C05010780,1500400292
C06620100,1500400293
C06620010,1500400294
C08260140,1500400295
C08210820,1500400296
C01330050,1500400297
C06121570,1500400298
C04260020,1500400299
C08210150,1500400300
C04220580,1500400301
C12210060,1500400302
C03010250,1500400303
C08210980,1500400304
C02117260,1500400305
C02117270,1500400306
C03721120,1500400307
C06174060,1500400308
C05920030,1500400309
C05123030,1500400310
C06111370,1500400311
C06174070,1500400312
C03012610,1500400313
C08230090,1500400314
C04320160,1500400315
C04320200,1500400316
C05123040,1500400317
C03721280,1500400318
C11610200,1500400319
C10220100,1500400320
C05920030,1500400321
C05752200,1500400322
C04243400,1500400323
C05320330,1500400324
C06640170,1500400325
C06710300,1500400326
C08110410,1500400327
C02712070,1500400328
C03360180,1500400329
C08110780,1500400331
C06220500,1500400332
C06220520,1500400333
C10420130,1500400334
C04333005,1500400335
C06120930,1500400336
C08240130,1500400337
C04320220,1500400338
C03010460,1500400339
C08211130,1500400340
C03330060,1500400341
C08220840,1500400342
C09320290,1500400343
C01641690,1500400344
C06215340,1500400345
C10220250,1500400346
C05413490,1500400347
C11310180,1500400348
C02120380,1500400349
C02120390,1500400350
C02120400,1500400351
C05830090,1500400352
C03012600,1500400353
C10410070,1500400354
C10420000,1500400355
C06810000,1500400356
C06810010,1500400357
C06810010,1500400358
C06810020,1500400359
C08240740,1500400360
C01510280,1500400361
C03350120,1500400362
C05122640,1500400363
C05122620,1500400364
C05123150,1500400365
C10420010,1500400366
C05123110,1500400367
C01510270,1500400368
C05220330,1500400369
C05420170,1500400370
C08210840,1500400371
C02520690,1500400372
C03721680,1500400373
C08240700,1500400374
C06710500,1500400375
C06710510,1500400376
C10220260,1500400377
C04110050,1500400378
C03620070,1500400379
C05122670,1500400380
C03010330,1500400381
C02520830,1500400382
C06310050,1500400383
C06640120,1500400384
C04260140,1500400385
C04260140,1500400386
C04260120,1500400387
C07200620,1500400388
C06640260,1500400389
C01641470,1500400390
C03823510,1500400391
C03010390,1500400392
C11630080,1500400393
C11630090,1500400394
