Bin ID,Product Code,Product Name,Unit,NS Code,NS Name,NS SubGroup,Quantity
OB_Non G1-2,C02810290,เครื่องเหลาดินสอ ตราม้า H-620,EA,2CT-WC-10-105,เครื่องเหลาดินสอ Horse H-620,DACT,3
OB_Non G2-1,C03120700,"ลวดเย็บกระดาษ ม้า 1210 FA-H 1,000 เข็ม",EA,2CT-OS-02-056,"ลวดเย็บกระดาษ Horse 1210 FA-H 1,000 เข็ม",DACT,66
OB_Non G2-2,C03120580,ลวดเย็บตราช้าง No.23/8,EA,2CT-OS-02-080,ลวดเย็บกระดาษ ตราช้าง No.23/8,DACT,7
OB_Non H1-1,C02414250,Pen WB สองหัว สีแดง ตราม้า (12:P),EA,2CT-WC-05-058,ปากกาไวท์บอร์ด Horse สองหัว แดง P.12,DACT,95
OB_Non H2-2,C02113520,PEN BALL ตราม้า H-407 : ดำ (50:B),EA,2CT-WC-01-013,ปากกาลูกลื่น Horse H-407 ดำ P.50,DACT,397
OB_Non H3-1,C02730400,ไส้ดินสอ สเต็ดเล่อร์ 252 HB(12:B),EA,2CT-WC-08-032,ไส้ดินสอ สเต็ดเล่อร์ 252 HB P.12,DACT,2
OB_Non I3-1,C05010690,ป้ายสติ๊กเกอร์ ตราช้าง A12 (34x79mm.),PAC,2CT-PB-01-442,ป้ายสติกเกอร์ ตราช้าง A12 34x79 mm P.1,DACT,12
OB_Non I3-2,C05010970,ป้ายสติ๊กเกอร์ ตราม้า No.A16 50x100 มม.,EA,2CT-PB-01-421,ป้ายสติกเกอร์ Horse A16 50x100 mm,DACT,7
OB_Non N1-2,C06410100,ลิ้นแฟ้มเหล็ก ตราม้า H-222(50ชิ้น/กล่อง),,2CT-FS-05-078,ลิ้นแฟ้มเหล็ก ตราม้า H-222,DACT,18
OB_Non N2-1,C05121050,FlyingColourPaperชมพู 120g.A4 #18 P.100,EA,2CT-PB-02-236,กระดาษสี Flying A4 120gsm 100s ชมพู #18,DACT,9
OB_Non N3-1,C05121140,FlyingColourPaperงาช้าง 160g.A4 #03 P.50,EA,2CT-PB-02-254,กระดาษสี Flying A4 160gsm 50s งาช้าง #03,DACT,13
OB_Non N3-2,C05610420,"P-itFlagsNo.683-5CFB คละ5สี ม,ส้ม,ชม,ล,ฟ",EA,2CT-PB-05-156,อินเด็กซ์พลาสติก Post-it No.683-5CFB คละสี 5 สี,DACT,68
OB_Non P2-1,S8858741731279TH,Staples No. 35 (26/6),EA,2DSD-ME-ST-TS-CN-007,Double A Staple No.35 26/6 P.1000,DAOS,232
OB_Non P2-2,S8858741733440TH,DA Flat Highlighter Bright Orange,EA,2DSD-WT-HL-TS-SK-017,Double A Flat Highlighter Bright Orange P.1,DAOS,0
